name,2011,2013
Blue Springs,7.5,6.4
Blue Valley,4,2.2
Bonner Springs,4.9,4.8
Center,11.9,13.6
Clinton,8.1,7
De Soto,3.4,3.4
Excelsior Springs,-2.8,2.8
Fort Osage,16.2,11.8
Gardner Edgerton,6.5,2.6
Grain Valley,10,10.3
Grandview,-1.7,2.6
Hickman Mills,12.7,5.6
Independence,9.4,6.8
Kansas City Kansas,7.8,10.5
Kansas City Public Schools,13.1,8.6
Lee's Summit,5,5.7
Liberty,8.5,3.5
North Kansas City,6.7,6.6
Oak Grove,-2.7,4.2
Olathe,6.7,4.3
Park Hill,6.8,4.7
Platte,4.8,3.7
Raytown,8,21.8
Shawnee Mission,10.3,6.1
Spring Hill,2.5,0.3
Turner,8.6,11.5
